Name,Team,Positon,Age,Apps,HeightCM,WeightKG,Goals,Assists,Passes,Wins,Losses,Yellowcards,Redcards,Fouls,Wins_ratio,Yellowcardsd_ratio,Fouls_ratio,Passes_ratio,Ycards_ratio_dicretized,Fouls_ratio_dicretized,Goals_ratio
Ethan Ampadu,Sheffield United,Defender,20,26,183.0,78.0,0,0,1025,5,20,3,0,25,0.19230769230769232,0.11538461538461539,0.9615384615384616,39.42307692307692,Medium,High,0.0
Jayden Bogle,Sheffield United,Defender,20,15,178.0,69.0,2,0,285,4,10,2,0,15,0.26666666666666666,0.13333333333333333,1.0,19.0,High,High,0.13333333333333333
Phil Jagielka,Sheffield United,Defender,38,375,180.0,87.0,18,9,14975,150,117,24,3,167,0.4,0.064,0.44533333333333336,39.93333333333333,Medium,Low,0.048
Kyron Gordon,Sheffield United,Defender,18,0,184.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
John Fleck,Sheffield United,Midfielder,29,58,170.0,72.0,5,4,2023,15,33,11,0,57,0.25862068965517243,0.1896551724137931,0.9827586206896551,34.87931034482759,High,High,0.08620689655172414
John Lundstram,Sheffield United,Midfielder,27,62,181.0,74.0,5,5,2175,17,32,13,1,51,0.27419354838709675,0.20967741935483872,0.8225806451612904,35.08064516129032,High,Medium,0.08064516129032258
Oliver Norwood,Sheffield United,Midfielder,30,67,180.0,75.0,1,1,3248,19,35,13,0,55,0.2835820895522388,0.19402985074626866,0.8208955223880597,48.47761194029851,High,Medium,0.014925373134328358
Ben Osborn,Sheffield United,Midfielder,26,34,176.0,75.0,1,0,891,11,19,1,0,18,0.3235294117647059,0.029411764705882353,0.5294117647058824,26.205882352941178,Low,Low,0.029411764705882353
Sander Berge,Sheffield United,Midfielder,23,29,195.0,96.0,2,2,804,6,19,4,0,32,0.20689655172413793,0.13793103448275862,1.103448275862069,27.724137931034484,High,High,0.06896551724137931
Jack Rodwell,Sheffield United,Midfielder,30,167,188.0,80.0,10,4,3881,50,64,26,1,135,0.2994011976047904,0.15568862275449102,0.8083832335329342,23.239520958083833,High,Medium,0.059880239520958084
Oliver Burke,Sheffield United,Midfielder,24,40,188.0,74.0,1,3,392,5,31,2,0,25,0.125,0.05,0.625,9.8,Low,Medium,0.025
Iliman Ndiaye,Sheffield United,Midfielder,21,1,180.0,74.0,0,0,3,0,1,0,0,0,0.0,0.0,0.0,3.0,Low,Low,0.0
Zak Brunt,Sheffield United,Midfielder,19,0,179.58823529411762,69.38461538461539,0,0,0,0,0,0,0,0,,,,,,,
Frankie Maguire,Sheffield United,Midfielder,17,0,183.0,72.5,0,0,0,0,0,0,0,0,,,,,,,
Oliver McBurnie,Sheffield United,Forward,24,75,188.0,79.0,7,1,1189,19,43,6,0,57,0.25333333333333335,0.08,0.76,15.853333333333333,Medium,Medium,0.09333333333333334
Billy Sharp,Sheffield United,Forward,35,43,175.0,70.0,6,2,328,10,24,2,1,34,0.23255813953488372,0.046511627906976744,0.7906976744186046,7.627906976744186,Low,Medium,0.13953488372093023
David McGoldrick,Sheffield United,Forward,33,60,183.0,74.0,9,3,1375,15,33,9,0,70,0.25,0.15,1.1666666666666667,22.916666666666668,High,High,0.15
Lys Mousset,Sheffield United,Forward,25,99,184.0,80.0,9,4,629,31,49,3,0,55,0.31313131313131315,0.030303030303030304,0.5555555555555556,6.353535353535354,Low,Low,0.09090909090909091
Rhian Brewster,Sheffield United,Forward,21,25,180.0,75.0,0,0,195,4,19,1,0,18,0.16,0.04,0.72,7.8,Low,Medium,0.0
Antwoine Hackford,Sheffield United,Forward,17,1,183.0,72.5,0,0,1,0,1,0,0,0,0.0,0.0,0.0,1.0,Low,Low,0.0
Daniel Jebbison,Sheffield United,Forward,17,1,190.0,72.5,0,0,3,0,1,0,0,1,0.0,0.0,1.0,3.0,Low,High,0.0
Alex McCarthy,Southampton,Goalkeeper,31,122,193.0,79.0,0,0,3144,34,54,5,0,1,0.2786885245901639,0.040983606557377046,0.00819672131147541,25.770491803278688,Low,Low,0.0
Fraser Forster,Southampton,Goalkeeper,33,115,201.0,93.0,0,0,2758,48,42,4,0,1,0.41739130434782606,0.034782608695652174,0.008695652173913044,23.982608695652175,Low,Low,0.0
Harry Lewis,Southampton,Goalkeeper,23,0,191.0,77.0,0,0,0,0,0,0,0,0,,,,,,,
Jannik Vestergaard,Southampton,Defender,28,70,199.0,96.0,4,0,3310,25,31,8,1,45,0.35714285714285715,0.11428571428571428,0.6428571428571429,47.285714285714285,Medium,Medium,0.05714285714285714
Jack Stephens,Southampton,Defender,27,108,185.0,75.0,4,4,4672,30,47,17,2,61,0.2777777777777778,0.1574074074074074,0.5648148148148148,43.25925925925926,High,Low,0.037037037037037035
Ryan Bertrand,Southampton,Defender,31,258,179.0,85.0,7,16,9868,92,107,35,2,238,0.35658914728682173,0.13565891472868216,0.9224806201550387,38.248062015503876,High,High,0.027131782945736434
Jan Bednarek,Lech Poznan,Defender,25,99,189.0,77.0,3,3,4536,33,44,16,1,86,0.3333333333333333,0.16161616161616163,0.8686868686868687,45.81818181818182,High,Medium,0.030303030303030304
Kyle Walker-Peters,Southampton,Defender,24,50,173.0,62.0,0,7,2069,25,14,6,0,41,0.5,0.12,0.82,41.38,Medium,Medium,0.0
Mohammed Salisu,Southampton,Defender,22,10,191.0,82.0,0,0,282,3,5,0,0,8,0.3,0.0,0.8,28.2,Low,Medium,0.0
Allan Tchaptchet,Southampton,Defender,19,1,179.58823529411762,69.38461538461539,0,0,1,0,1,0,0,0,0.0,0.0,0.0,1.0,Low,Low,0.0
Kayne Ramsay,Southampton,Defender,20,2,178.55,71.85714285714286,0,0,33,0,2,1,0,1,0.0,0.5,0.5,16.5,High,Low,0.0
Moussa Djenepo,Southampton,Midfielder,22,44,177.0,65.0,3,2,607,14,23,9,1,52,0.3181818181818182,0.20454545454545456,1.1818181818181819,13.795454545454545,High,High,0.06818181818181818
Oriol Romeu,Southampton,Midfielder,29,201,183.0,83.0,5,1,9033,73,73,54,0,280,0.36318407960199006,0.26865671641791045,1.3930348258706469,44.940298507462686,High,High,0.024875621890547265
James Ward-Prowse,Southampton,Midfielder,26,267,173.0,66.0,30,29,9146,92,104,33,1,234,0.3445692883895131,0.12359550561797752,0.8764044943820225,34.254681647940075,Medium,High,0.11235955056179775
Stuart Armstrong,Southampton,Midfielder,29,90,183.0,75.0,12,10,2332,31,39,9,0,77,0.34444444444444444,0.1,0.8555555555555555,25.91111111111111,Medium,Medium,0.13333333333333333
Nathan Redmond,Southampton,Midfielder,27,234,173.0,69.0,27,21,6404,62,112,13,1,182,0.26495726495726496,0.05555555555555555,0.7777777777777778,27.367521367521366,Low,Medium,0.11538461538461539
William Smallbone,Southampton,Midfielder,21,12,179.64,74.0,0,2,279,5,4,0,0,5,0.4166666666666667,0.0,0.4166666666666667,23.25,Low,Low,0.0
Ibrahima Diallo,Southampton,Midfielder,22,20,179.0,68.0,0,0,511,7,9,2,0,18,0.35,0.1,0.9,25.55,Medium,High,0.0
Kgaogelo Chauke,Southampton,Midfielder,18,0,184.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
Caleb Watts,Southampton,Midfielder,19,3,175.0,69.38461538461539,0,0,12,0,3,1,0,0,0.0,0.3333333333333333,0.0,4.0,High,Low,0.0
Ryan Finnigan,Southampton,Midfielder,17,0,183.0,72.5,0,0,0,0,0,0,0,0,,,,,,,
Alexandre Jankewitz,Southampton,Midfielder,19,2,179.0,75.0,0,0,3,0,2,0,1,1,0.0,0.0,0.5,1.5,Low,Low,0.0
Nathan Tella,Southampton,Midfielder,21,17,179.64,74.0,1,1,109,5,9,2,0,16,0.29411764705882354,0.11764705882352941,0.9411764705882353,6.411764705882353,Medium,High,0.058823529411764705
Will Ferry,Southampton,Midfielder,20,0,176.0,68.0,0,0,0,0,0,0,0,0,,,,,,,
Danny Ings,Southampton,Forward,28,138,178.0,73.0,55,13,2376,43,57,12,0,107,0.3115942028985507,0.08695652173913043,0.7753623188405797,17.217391304347824,Medium,Medium,0.39855072463768115
Che Adams,Southampton,Forward,24,65,175.0,70.0,13,7,849,24,29,1,0,46,0.36923076923076925,0.015384615384615385,0.7076923076923077,13.061538461538461,Low,Medium,0.2
Michael Obafemi,Southampton,Forward,20,31,169.0,71.0,4,3,166,12,13,2,0,14,0.3870967741935484,0.06451612903225806,0.45161290322580644,5.354838709677419,Medium,Low,0.12903225806451613
Theo Walcott,Southampton,Forward,32,367,176.0,68.0,78,54,5873,184,101,10,0,114,0.5013623978201635,0.027247956403269755,0.3106267029972752,16.002724795640326,Low,Low,0.2125340599455041
Takumi Minamino,Southampton,Forward,26,28,174.0,68.0,3,0,473,14,9,1,0,18,0.5,0.03571428571428571,0.6428571428571429,16.892857142857142,Low,Medium,0.10714285714285714
Daniel N'Lundulu,Southampton,Forward,22,13,181.047619047619,73.45,0,0,29,3,7,0,0,6,0.23076923076923078,0.0,0.46153846153846156,2.230769230769231,Low,Low,0.0
Hugo Lloris,Tottenham Hotspur,Goalkeeper,34,295,188.0,82.0,0,0,7480,168,66,3,0,3,0.5694915254237288,0.010169491525423728,0.010169491525423728,25.35593220338983,Low,Low,0.0
Joe Hart,Tottenham Hotspur,Goalkeeper,34,340,196.0,91.0,0,1,6733,169,97,7,0,6,0.4970588235294118,0.020588235294117647,0.01764705882352941,19.80294117647059,Low,Low,0.0
Alfie Whiteman,Tottenham Hotspur,Goalkeeper,22,0,189.0,84.0,0,0,0,0,0,0,0,0,,,,,,,
Toby Alderweireld,Tottenham Hotspur,Defender,32,197,187.0,90.0,9,4,11201,110,48,22,0,82,0.5583756345177665,0.1116751269035533,0.41624365482233505,56.857868020304565,Medium,Low,0.04568527918781726
Davinson SÃ¡nchez,Tottenham Hotspur,Defender,24,100,187.0,81.0,1,1,5815,53,25,10,1,93,0.53,0.1,0.93,58.15,Medium,High,0.01
Serge Aurier,Tottenham Hotspur,Defender,24,77,182.95555555555558,75.79545454545455,5,12,3118,40,19,4,2,102,0.5194805194805194,0.05194805194805195,1.3246753246753247,40.493506493506494,Low,High,0.06493506493506493
Ben Davies,Tottenham Hotspur,Defender,28,219,181.0,76.0,6,16,9145,105,64,27,0,176,0.4794520547945205,0.1232876712328767,0.8036529680365296,41.757990867579906,Medium,Medium,0.0273972602739726
Japhet Tanganga,Tottenham Hotspur,Defender,22,10,184.0,76.0,0,0,322,2,5,2,0,13,0.2,0.2,1.3,32.2,High,High,0.0
Matt Doherty,Tottenham Hotspur,Defender,29,90,182.0,80.0,8,10,3501,40,25,8,1,77,0.4444444444444444,0.08888888888888889,0.8555555555555555,38.9,Medium,Medium,0.08888888888888889
Sergio ReguilÃ³n,Tottenham Hotspur,Defender,24,24,178.0,68.0,0,3,1054,11,6,5,0,23,0.4583333333333333,0.20833333333333334,0.9583333333333334,43.916666666666664,High,High,0.0
Joe Rodon,Tottenham Hotspur,Defender,23,11,180.0,70.0,0,0,429,5,3,0,0,2,0.45454545454545453,0.0,0.18181818181818182,39.0,Low,Low,0.0
Dennis Cirkin,Tottenham Hotspur,Defender,19,0,181.0,78.0,0,0,0,0,0,0,0,0,,,,,,,
Marcel Lavinier,Tottenham Hotspur,Defender,20,0,180.0,71.85714285714286,0,0,0,0,0,0,0,0,,,,,,,
Harry Winks,Tottenham Hotspur,Midfielder,25,106,178.0,65.0,2,2,4630,62,25,18,0,64,0.5849056603773585,0.16981132075471697,0.6037735849056604,43.679245283018865,High,Medium,0.018867924528301886
Erik Lamela,Tottenham Hotspur,Midfielder,29,177,181.0,79.0,17,23,4350,90,44,30,1,235,0.5084745762711864,0.1694915254237288,1.3276836158192091,24.576271186440678,High,High,0.096045197740113
